"","e_","site_","sigle","name","iscore","issect","isssamp","descriptor","hasanlam","entloc","localveg","coll_","sampdate","depthatloc","icethickcm","sampdevice","corediamcm","c14depthadj","notes","site_","sitename","sitecode","siteexists","poldiv1","poldiv2","poldiv3","latdeg","latmin","latsec","latns","latdd","latdms","londeg","lonmin","lonsec","lonew","londd","londms","elevation","areaofsite"
"165",982,836,"ANNA",NA,"Y","N","Y","UNKN","N",NA,NA,174,"0000-00-00",NA,NA,"Unspecified device",NA,NA,NA,836,"Tourbière de Santa Anna","ITA-19000-TOUR",NA,"ITA","19","000",45,51,30,"N",45.858333,"45.51.30N",7,39,15,"E",7.654167,"  7.39.15E",2304,13.7
"166",1015,865,"STFRONTA","core SFA","Y","N","N","LACU","N","Centre of the lake","Maar",145,"1994-00-00",500,NA,"Stationary piston corer Sedidr",8,NA,NA,865,"Saint Front Lake","FRA-38000-STFR","Y2000","FRA","38","000",44,58,50,"N",44.980556,"44.58.50N",4,10,9,"E",4.169167,"  4.10.09E",1234,30
"167",1019,867,"AC4HOLO","AC3/4 Holocene","Y","N","N","LACU","N","50m west from the shore",NA,636,"0000-00-00",3900,NA,"Russian sampler",8,NA,NA,867,"Lago dell'Accesa","ITA-16000-AC4L",NA,"ITA","16","000",42,59,12,"N",42.986667,"42.59.12N",10,53,30,"E",10.891667," 10.53.30",160,16
"168",1020,867,"AC4LATE","AC3/4 Late-Glacial","Y","N","N","LACU","N",NA,NA,636,"0000-00-00",3900,NA,"Russian sampler",8,NA,NA,867,"Lago dell'Accesa","ITA-16000-AC4L",NA,"ITA","16","000",42,59,12,"N",42.986667,"42.59.12N",10,53,30,"E",10.891667," 10.53.30",160,16
"169",1039,883,"FATE",NA,"Y","N","N","PBOG","N","western part of Anna di Vinadio Valley","Cyperaceae, Juncaceae",618,"0000-00-00",NA,NA,"Russian corer",NA,NA,NA,883,"Lago delle Fate","ITA-12000-FATE",NA,"ITA","12","000",44,16,0,"N",44.266667,"44.16.00N",7,6,0,"E",7.1,"  7.06.00E",2130,NA
"170",1040,884,"MONDOVI",NA,"Y","N","N","PBOG","N","southern part of the Ellero Valley","Cyperaceae, Juncaceae",618,"0000-00-00",NA,NA,"Russian corer",NA,NA,NA,884,"Refugio Mondovi","ITA-12000-MOND",NA,"ITA","12","000",44,11,0,"N",44.183333,"44.11.00N",7,44,0,"E",7.733333,"  7.44.00E",1760,NA
"171",1041,885,"ORGIALS",NA,"Y","N","Y","PBOG","N","western part of Anna di Vinadio Valley","Cyperaceae, Juncaceae",618,"0000-00-00",NA,NA,"Russian corer",NA,NA,NA,885,"Laghi dell'Orgials","ITA-12000-ORGI",NA,"ITA","12","000",44,14,0,"N",44.233333,"44.14.00N",7,8,0,"E",7.133333,"  7.08.00E",2240,NA
"172",1042,886,"BIECAI",NA,"Y","N","N","PBOG","N","southern part of the Ellero Valley","Cyperaceae, Juncaceae",618,"0000-00-00",NA,NA,"Russian corer",NA,NA,NA,886,"Torbiera del Biecai","ITA-12000-BIEC",NA,"ITA","12","000",44,12,0,"N",44.2,"44.12.00N",7,42,0,"E",7.7,"  7.42.00E",1920,NA
"173",1048,890,"BEGBUNAR",NA,"Y","N","Y","PBOG","N",NA,"Cyperaceae Sphagnum",211,"0000-00-00",NA,NA,NA,NA,NA,NA,890,"Peat-bog Begbunar","BGR-07000-BEGB",NA,"BGR","07","000",42,9,0,"N",42.15,"42.09.00N",22,33,0,"E",22.55," 22.33.00E",1750,NA
"174",1051,892,"LUITEL","profil 3","Y","N","N","LACU","N","Pass of Luitel in french alps","Subalpine mountain vegetation",444,"0000-00-00",350,NA,NA,NA,NA,"close to Grenoble",892,"Col Luitel","FRA-50000-LUIT","Y2000","FRA","50","000",45,5,18,"N",45.088333,"45.05.18N",5,50,59,"E",5.849722,"  5.50.59E",1250,20
"175",1053,894,"LANZBOG",NA,"Y","N","Y","PBOG","N",NA,"oligotrophic bog communities",670,"0000-00-00",NA,NA,"Russian corer",NA,NA,NA,894,"Lanzahíta","ESP-08000-LANZ",NA,"ESP","08","000",40,13,20,"N",40.222222,"40.13.20N",4,56,9,"W",-4.935833,"  4.56.09W",588,0.02
"176",1055,896,"AELBI","Älbi Flue","Y","N","Y","PMIR","N",NA,"mire; ca. raised bog",419,"1997-07-10",0,NA,"spade",10,0,NA,896,"Älbi Flue","CHE-23000-AELB","Y1998","CHE","23","000",46,35,55,"N",46.598611,"46.35.55N",7,58,35,"E",7.976389,"  7.58.35E",1850,0.01
"177",1056,897,"ALETSW","Aletschwald","Y","N","Y","PFVL","N",NA,"minerotrophic mire",675,"1971-00-00",NA,NA,"Hiller corer",NA,NA,NA,897,"Aletschwald","CHE-23000-ALET",NA,"CHE","23","000",46,23,23,"N",46.389722,"46.23.23N",8,1,32,"E",8.025556,"  8.01.32E",2017,0.1
"178",1057,897,"ALETSW1","Aletschwald I","Y","N","N","PFVL","N",NA,"minerotrophic mire",675,"1956-09-18",NA,NA,"Hiller corer",NA,NA,NA,897,"Aletschwald","CHE-23000-ALET",NA,"CHE","23","000",46,23,23,"N",46.389722,"46.23.23N",8,1,32,"E",8.025556,"  8.01.32E",2017,0.1
"179",1058,897,"ALETSW2","Aletschwald II","Y","N","Y","PFVL","N",NA,"minerotrophic mire",675,"1971-09-18",NA,NA,"Hiller corer",NA,NA,"ALPADABA",897,"Aletschwald","CHE-23000-ALET",NA,"CHE","23","000",46,23,23,"N",46.389722,"46.23.23N",8,1,32,"E",8.025556,"  8.01.32E",2017,0.1
"180",1059,897,"ALETSCHW","Aletschwald PJ","Y","N","Y","PMIR","N",NA,"mire",419,"1997-08-04",0,NA,"spade",20,0,NA,897,"Aletschwald","CHE-23000-ALET",NA,"CHE","23","000",46,23,23,"N",46.389722,"46.23.23N",8,1,32,"E",8.025556,"  8.01.32E",2017,0.1
"181",1061,898,"BACHALP","Bachalpsee","Y","N","Y","LNAT","N",NA,"open water",295,"1996-04-00",NA,NA,"Gravity c.+ mod.Livingstone c.",NA,NA,NA,898,"Bachalpsee","CHE-23000-BACH","Y1999","CHE","23","000",46,40,10,"N",46.6694444,"46.40.10N",8,1,15,"E",8.020833,"  8.01.15E",2265,8
"182",1064,901,"BELALP1","Belalp Ba I","Y","N","Y","PFVL","N","near Tyndall memorial",NA,675,"1956-09-25",NA,NA,"Hiller corer",NA,NA,NA,901,"Alp Lüsga Belalp 1","CHE-23000-BELA",NA,"CHE","23","000",46,13,51,"N",46.230833,"46.13.51N",7,35,25,"E",7.590278,"  7.35.25E",2330,NA
"183",1065,902,"BELALP2","Belalp IIF","Y","N","Y","PFSL","N","not far from Belalp 1 2330 m",NA,675,"1968-08-02",NA,NA,"Hiller corer",NA,NA,NA,902,"Alp Lüsga Belalp 2","CHE-23000-BELA",NA,"CHE","23","000",46,23,4,"N",46.384444,"46.23.04N",7,58,39,"E",7.9775,"  7.58.39E",2310,NA
"184",1066,903,"BEVERA","Lago di Bévera","Y","N","Y","LNGL","N","deepest part of lake","open water",419,"1991-06-28",2.2,NA,"HON-Kajak corer (Renberg 1991)",6,NA,NA,903,"Lago di Bévera","ITA-12000-BEVE","Y1998","ITA","12","000",45,51,9,"N",45.8525,"45.51.09N",8,53,41,"E",8.894722,"  8.53.41E",340,1.5
"185",1068,905,"BITSCH3","Bitsch-Naters","Y","N","N","PFVL","N",NA,"none",675,"1956-09-24",NA,NA,"Hiller corer",NA,NA,NA,905,"Bitsch-Naters","CHE-23000-BITS","N1982","CHE","23","000",46,20,28,"N",46.341111,"46.20.28N",7,59,30,"E",7.991667,"  7.59.30E",1089,NA
"186",1069,906,"BODMEN1","Bodmen 1","Y","N","Y","PFEN","N","80 m from ""Fluhrand"", 30 m from spring","Hypnaceae mire",675,"1968-00-00",NA,NA,"Hiller corer",NA,NA,NA,906,"Bodmen Alp Bel","CHE-23000-BODM",NA,"CHE","23","000",46,21,16,"N",46.363056,"46.21.16N",7,57,52,"E",7.964444,"  7.57.52E",1916,NA
"187",1070,906,"BODMEN2","Bodmen 2","Y","N","Y","PFEN","N","30 m from ""Fluhrand"", 80 m from spring","Hypnaceae mire",675,"1968-00-00",NA,NA,"Hiller corer",NA,NA,NA,906,"Bodmen Alp Bel","CHE-23000-BODM",NA,"CHE","23","000",46,21,16,"N",46.363056,"46.21.16N",7,57,52,"E",7.964444,"  7.57.52E",1916,NA
"188",1071,906,"BODMEN3","Bodmen 3","Y","N","Y","TSOI","N","near ""Fluhrand"",outside spring influence","trees and shrubs",675,"1968-00-00",NA,NA,"spade",NA,NA,NA,906,"Bodmen Alp Bel","CHE-23000-BODM",NA,"CHE","23","000",46,21,16,"N",46.363056,"46.21.16N",7,57,52,"E",7.964444,"  7.57.52E",1916,NA
"189",1072,907,"BRETAYE","Lac de Bretaye","Y","N","Y","LNGL","N","deepest part of lake","open water",419,"1992-07-08",800,NA,"HON-Kajak corer (Renberg 1991)",6,NA,NA,907,"Lac de Bretaye","CHE-24000-BRET","Y1998","CHE","24","000",46,19,34,"N",46.326111,"46.19.34N",7,4,20,"E",7.072222,"  7.04.20E",1786,4
"190",1074,909,"CINUSKEL","Cinuskel","Y","N","N","PMIR","N","existing open section of peat cut",NA,675,"1955-08-13",NA,NA,"samples from old peat cutting",NA,NA,NA,909,"Cinuskel","CHE-10000-CINU",NA,"CHE","10","000",46,38,37,"N",46.643611,"46.38.37N",10,1,25,"E",10.023611," 10.01.25E",1615,NA
"191",1075,147,"CLAP68","core 68","Y","N","Y","PMIR","N",NA,"Carex peat",88,"1968-00-00",NA,NA,"Hiller corer",NA,NA,NA,147,"Clapeyret","FRA-05000-CLAP","Y1992","FRA","05","000",44,8,50,"N",44.147222,"44.08.50N",7,14,20,"E",7.238889,"  7.14.20E",2260,1.5
"192",1076,910,"DOSSAC1","Dossaccio I","Y","N","N","PBRA","N","middle to N part,16m W of road near Fort","raised bog,some Pinus sylv.+dwarf shrubs",675,"1963-09-19",NA,NA,"Hiller corer",NA,NA,NA,910,"Dossaccio Bormio","ITA-09000-DOSS",NA,"ITA","09","000",46,28,14,"N",46.470556,"46.28.14N",10,20,14,"E",10.337222," 10.20.14E",1698,1.5
"193",1077,910,"DOSSAC2","Dossaccio II","Y","N","N","PBRA","N","ca.30m N of road on broadest part of bog","treeless raised bog",675,"1975-10-09",NA,NA,"Hiller corer",NA,NA,NA,910,"Dossaccio Bormio","ITA-09000-DOSS",NA,"ITA","09","000",46,28,14,"N",46.470556,"46.28.14N",10,20,14,"E",10.337222," 10.20.14E",1698,1.5
"194",1078,910,"DOSSAC3","Dossaccio III","Y","N","N","PBRA","N","ca.30m N of road on broadest part of bog","treeless raised bog",675,"1979-09-19",NA,NA,"Hiller corer",NA,NA,NA,910,"Dossaccio Bormio","ITA-09000-DOSS",NA,"ITA","09","000",46,28,14,"N",46.470556,"46.28.14N",10,20,14,"E",10.337222," 10.20.14E",1698,1.5
"195",1079,910,"DOSSACC","Dossaccio","Y","N","N","PBRA","N",NA,"raised bog",675,"1963-00-00",NA,NA,"Hiller corer",NA,NA,NA,910,"Dossaccio Bormio","ITA-09000-DOSS",NA,"ITA","09","000",46,28,14,"N",46.470556,"46.28.14N",10,20,14,"E",10.337222," 10.20.14E",1698,1.5
"196",1080,911,"EGGEN","Eggen ob Blatten","Y","N","N","PFVL","N","centre of basin, 20-40 m from moraine",NA,675,"1971-09-17",NA,NA,"Hiller corer, Spade",NA,NA,NA,911,"Eggen ob Blatten","CHE-23000-EGGE",NA,"CHE","23","000",46,22,19,"N",46.371944,"46.22.19N",7,59,26,"E",7.990556,"  7.59.26E",1654,NA
"197",1081,911,"EGGEN2","Eggen ob Blatten 2","Y","N","N","PFVL","N","centre of basin, 20 m from moraine","meadow, mire",675,"1971-09-18",NA,NA,"Hiller corer",NA,NA,NA,911,"Eggen ob Blatten","CHE-23000-EGGE",NA,"CHE","23","000",46,22,19,"N",46.371944,"46.22.19N",7,59,26,"E",7.990556,"  7.59.26E",1654,NA
"198",1082,911,"EGGEN3","Eggen ob Blatten 3","Y","N","N","PFVL","N","centre of basin, 40 m from moraine","meadow, mire",675,"1971-09-16",NA,NA,"spade",NA,NA,NA,911,"Eggen ob Blatten","CHE-23000-EGGE",NA,"CHE","23","000",46,22,19,"N",46.371944,"46.22.19N",7,59,26,"E",7.990556,"  7.59.26E",1654,NA
"199",1083,911,"EGGEN56","Eggen ob Blatten 56","Y","N","Y","PFVL","N","centre of basin, 40 m from moraine",NA,675,"1956-09-25",NA,NA,"Hiller corer",NA,NA,NA,911,"Eggen ob Blatten","CHE-23000-EGGE",NA,"CHE","23","000",46,22,19,"N",46.371944,"46.22.19N",7,59,26,"E",7.990556,"  7.59.26E",1654,NA
"200",1087,913,"FELDD2","Feld D2","Y","N","N","PMIR","N",NA,"FEN",NA,"1997-10-27",0,NA,NA,NA,0,NA,913,"Feld Alp Holzmatten","CHE-23000-FELD","Y2001","CHE","23","000",46,39,33,"N",46.659167,"46.39.33N",8,0,15,"E",8.004167,"  8.00.15E",2148,NA
"201",1090,916,"GANNA","Lago di Ganna","Y","N","Y","LNGL","N","deepest part of lake","open water",419,"1991-06-26",3,NA,"HON-Kajak corer (Renberg 1991)",6,NA,NA,916,"Lago di Ganna","ITA-12000-GANN","Y1998","ITA","12","000",45,53,51,"N",45.8975,"45.53.51N",8,49,39,"E",8.8275,"  8.49.39E",452,6
"202",1092,918,"GONDO","Gondo-Alpjen 2","Y","N","Y","PFVL","N","20m N of the hut at E side of depression","wet supalpine hay-field vegetation",675,"1964-09-05",NA,NA,"Hiller corer",NA,NA,NA,918,"Gondo Alpjen","CHE-23000-GOND",NA,"CHE","23","000",46,12,42,"N",46.211667,"46.12.42N",8,6,48,"E",8.113333,"  8.06.48E",1724,8
"203",1093,919,"GIORGIO","Monte San Giorgio S1","Y","N","Y","TSOI","N","soil profile between stones","grassland",419,"1991-12-05",0,NA,"HON-Kajak corer (Renberg 1991)",NA,NA,NA,919,"Monte San Giorgio","CHE-21000-GIOR","Y1998","CHE","21","000",45,54,34,"N",45.909444,"45.54.34N",8,57,14,"E",8.953889,"  8.57.14E",990,0.5
"204",1094,920,"GRAECH51","Grächen-See (2)","Y","N","Y","PFOW","N",NA,"Carex fusca floating mire",675,"1951-07-00",NA,NA,"Hiller corer",NA,NA,NA,920,"Grächen See","CHE-23000-GRAE",NA,"CHE","23","000",46,11,44,"N",46.195556,"46.11.44N",7,50,42,"E",7.845,"  7.50.42E",1725,NA
"205",1095,920,"GRAECHEN","Grächen-See","Y","N","Y","PFOW","N",NA,"Carex fusca floating mire",675,"1973-07-21",NA,NA,"Hiller corer",NA,NA,NA,920,"Grächen See","CHE-23000-GRAE",NA,"CHE","23","000",46,11,44,"N",46.195556,"46.11.44N",7,50,42,"E",7.845,"  7.50.42E",1725,NA
"206",1096,921,"GREICH2","Greicheralp","Y","N","Y","PFVL","N",NA,"meadow",675,"1956-09-17",NA,NA,"Hiller corer",NA,NA,NA,921,"Greicheralp Riederalp","CHE-23000-GREI",NA,"CHE","23","000",46,22,47,"N",46.379722,"46.22.47N",8,1,49,"E",8.030278,"  8.01.49E",1934,NA
"207",1097,922,"GRINDJI","Grindjisee","Y","N","Y","LNGL","N","deepest part of lake","open water",419,"1991-08-05",1.5,NA,"HON-Kajak corer (Renberg 1991)",6,NA,NA,922,"Grindjisee","CHE-23000-GRIN","Y1998","CHE","23","000",46,0,42,"N",46.011667,"46.00.42N",7,47,28,"E",7.791111,"  7.47.28E",2343,1
"208",1098,923,"HAGELSEE","Hagelseeli-1","Y","N","Y","LNAT","N",NA,"open water",NA,"1996-05-05",NA,NA,"HON-Kajak corer (Renberg 1991)",NA,NA,NA,923,"Hagelseeli","CHE-23000-HAGE",NA,"CHE","23","000",46,40,22,"N",46.672778,"46.40.22N",8,2,7,"E",8.035278,"  8.02.07E",2346,2.5
"209",1101,926,"HELLELEN","Zeneggen-Hellelen B","Y","N","N","PFVL","N","E of Zeneggen-Hellelen A",NA,675,"1968-06-10",NA,NA,"Hiller corer",NA,NA,NA,926,"Mittlere Hellelen","CHE-23000-ZENE","Y1982","CHE","23","000",46,16,59,"N",46.283056,"46.16.59N",7,50,39,"E",7.844167,"  7.50.39E",1538,NA
"210",1102,926,"ZENEGGEN","Zeneggen-Hellelen A","Y","N","Y","PFVL","N","deepest part, E margin","Carex elata tussocks",675,"1964-04-00",NA,NA,"Hiller corer",NA,NA,NA,926,"Mittlere Hellelen","CHE-23000-ZENE","Y1982","CHE","23","000",46,16,59,"N",46.283056,"46.16.59N",7,50,39,"E",7.844167,"  7.50.39E",1538,NA
"211",1103,927,"HILAIRE1","S1","Y","N","N","PMSH","N","20m from the Est","Phragmite",183,"1980-00-00",NA,NA,"Russian corer GIK",5,NA,NA,927,"Saint Hilaire du Rosier","FRA-50000-HILA",NA,"FRA","50","000",45,4,15,"N",45.070833,"45.04.15N",5,15,24,"E",5.256667,"  5.15.24E",190,0.5
"212",1104,927,"HILAIRE2","S2","Y","N","N","PMSH","N","70m from the Est","Phragmite",183,"1981-00-00",NA,NA,"Supercarottier",8,NA,NA,927,"Saint Hilaire du Rosier","FRA-50000-HILA",NA,"FRA","50","000",45,4,15,"N",45.070833,"45.04.15N",5,15,24,"E",5.256667,"  5.15.24E",190,0.5
"213",1106,929,"ILFUORN","Il Fuorn","Y","N","Y","PMIR","N",NA,"Sphagn.fusc.,Cx.pauc.,Eriop.vag.,Oxycocc",675,"1955-08-10",NA,NA,"Hiller corer",NA,NA,NA,929,"Il Fuorn","CHE-10000-ILFU",NA,"CHE","10","000",46,39,46,"N",46.662778,"46.39.46N",10,12,36,"E",10.21," 10.12.36E",1805,NA
"214",1120,935,"JUFPLAN","Juf Plan","Y","N","N","PMIR","N","NW part af foot of large debris slope","Salix foet.,Carex4spp.,Prim.far.,Sel.sel",675,"1958-09-04",NA,NA,"Hiller corer",NA,NA,NA,935,"Juf Plan","CHE-10000-JUFP",NA,"CHE","10","000",46,37,35,"N",46.626389,"46.37.35N",10,15,35,"E",10.259722," 10.15.35E",2222,NA
"215",1121,936,"HOPSTOP","Hopschensee (top)","Y","N","Y","LNGL","N","lake","open water",NA,"1994-08-30",NA,NA,"Frozen finger",NA,NA,NA,936,"Hopschensee","CHE-23000-HOPS","Y1997","CHE","23","000",46,15,9,"N",46.2525,"46.09.04N",8,1,23,"E",8.023056,"  8.01.23E",2026,1
"216",1122,936,"HOPSCHEN","Hopschensee","Y","N","Y","PFOW","N","lower shore-terrace,18m W from dry slope",NA,675,"1962-10-00",NA,NA,"Hiller corer",NA,NA,NA,936,"Hopschensee","CHE-23000-HOPS","Y1997","CHE","23","000",46,15,9,"N",46.2525,"46.09.04N",8,1,23,"E",8.023056,"  8.01.23E",2026,1
"217",1123,936,"HOPSCH1","Simplon-Hopschensee 1","Y","N","N","PFOW","N","upper shore-terrace,27m W from dry slope","wet Nardetum",675,"1962-10-03",NA,NA,"Hiller corer",NA,NA,NA,936,"Hopschensee","CHE-23000-HOPS","Y1997","CHE","23","000",46,15,9,"N",46.2525,"46.09.04N",8,1,23,"E",8.023056,"  8.01.23E",2026,1
"218",1127,938,"LUISSEL","Etang de Luissel","Y","N","N","LNAT","N",NA,NA,675,"1961-03-00",NA,NA,"Hiller corer",NA,NA,NA,938,"Etang de Luissel Bex","CHE-23000-LUIS",NA,"CHE","23","000",46,14,14,"N",46.237222,"46.14.14N",7,1,3,"E",7.0175,"  7.01.03E",522,NA
"219",1128,939,"MACUN","Macun","Y","N","N","LNAT","N","1.5 m from W shore","open water",675,"1960-09-14",22,NA,"Dachnowski corer",NA,NA,NA,939,"Macun Val Zeznina ob Zernez","CHE-10000-MACU",NA,"CHE","10","000",46,43,42,"N",46.728333,"46.43.42N",10,7,58,"E",10.132778," 10.07.58E",2626,NA
"220",1129,940,"MONTCARR","Mont Carré","Y","N","N","PFVL","N",NA,NA,675,"1964-08-03",NA,NA,"Hiller corer",NA,NA,NA,940,"Mont Carré Hérémence","CHE-23000-MONT",NA,"CHE","23","000",46,9,14,"N",46.153889,"46.09.14N",7,22,7,"E",7.368611,"  7.22.07E",2295,NA
"221",1136,945,"NILEDS2","Core S2","Y","N","N","TERR","N",NA,NA,58,"1985-00-00",0,NA,"combination rotary percussion",6,0,NA,945,"Nile Delta S2","EGY-01000-NILE",NA,"EGY","01","000",31,18,0,"N",31.3,"31.18.00N",31,36,0,"E",31.6," 31.36.00E",1,NA
"222",1137,946,"NILEDS6","Core S6","Y","N","N","TERR","N",NA,NA,58,"1985-00-00",0,NA,"combination rotary percussion",6,0,NA,946,"Nile Delta S6","EGY-01000-NILE",NA,"EGY","01","000",31,6,30,"N",31.108333,"31.06.30N",31,43,0,"E",31.716667," 31.43.00E",2,NA
"223",1138,947,"OBERAAR","Oberaar G I 112","Y","N","Y","PMIR","N","""12.38 m"", just outside moraine A.D.1860","Caricetum fuscae trichophoretosum",689,"0000-00-00",0,NA,"digging",NA,NA,NA,947,"Oberaar","CHE-23000-OBER",NA,"CHE","23","000",46,32,50,"N",46.547222,"46.32.50N",8,15,20,"E",8.255556,"  8.15.20E",2380,NA
"224",1142,951,"PILLON","Pillon","Y","N","Y","PFVL","N","small mire below Lac de Retaud",NA,675,"1964-00-00",NA,NA,"Hiller corer",NA,NA,NA,951,"Pillon Gsteig-Diablerets","CHE-23000-PILL",NA,"CHE","23","000",46,21,35,"N",46.359722,"46.21.35N",7,11,55,"E",7.198611,"  7.11.55E",1686,NA
"225",1143,952,"RIFFEL","Riffelsee","Y","N","Y","LNGL","N","deepest part of lake","open water",419,"1991-08-10",4,NA,"HON-Kajak corer (Renberg 1991)",6,NA,NA,952,"Riffelsee","CHE-23000-RIFF","Y1998","CHE","23","000",45,58,60,"N",45.983333,"45.58.60N",7,45,43,"E",7.761944,"  7.45.43E",2762,1
"226",1146,953,"ROBII33","Robiei II/33m","Y","N","N","PFVL","N",NA,NA,675,"1965-09-22",NA,NA,"Hiller corer",NA,NA,NA,953,"Alpi di Robièi Val Bavona","CHE-21000-ROB3","N1965","CHE","21","000",46,26,42,"N",46.445,"46.26.42N",8,31,6,"E",8.518333,"  8.31.06E",1936,NA
"227",1147,953,"ROBII30","Robiei II/30m","Y","N","N","PFVL","N",NA,NA,675,"1965-08-17",NA,NA,"technical coring",NA,NA,NA,953,"Alpi di Robièi Val Bavona","CHE-21000-ROB3","N1965","CHE","21","000",46,26,42,"N",46.445,"46.26.42N",8,31,6,"E",8.518333,"  8.31.06E",1936,NA
"228",1148,953,"ROB316","Robiei 3/16m","Y","N","N","PFVL","N",NA,NA,675,"1965-08-17",NA,NA,"Hiller corer",NA,NA,NA,953,"Alpi di Robièi Val Bavona","CHE-21000-ROB3","N1965","CHE","21","000",46,26,42,"N",46.445,"46.26.42N",8,31,6,"E",8.518333,"  8.31.06E",1936,NA
"229",1152,957,"TREPALLE","Trepalle","Y","N","Y","PMIR","N","20 m below main road","very dry (dissiccated)Ericaceae hummocks",675,"1975-10-10",NA,NA,"Hiller corer",NA,NA,NA,957,"Trepalle Livigno","ITA-09000-TREP",NA,"ITA","09","000",46,31,8,"N",46.518889,"46.31.08N",10,10,59,"E",10.183056," 10.10.59E",2020,NA
"230",1158,963,"SCHWAVS","Schwarzsee VS","Y","N","Y","LNGL","N","deepest part of lake","open water",419,"1991-08-12",500,NA,"HON-Kajak corer (Renberg 1991)",6,NA,NA,963,"Schwarzsee VS","CHE-23000-SCHW","Y1998","CHE","23","000",45,59,27,"N",45.990833,"45.59.27N",7,42,25,"E",7.706944,"  7.42.25E",2554,1
"231",1161,966,"SPITTEL","Simplon-Alter Spittel","Y","N","Y","PFVL","N","right in the middle of the mire","nearly ombrotrophic mire vegetation",675,"1973-09-00",NA,NA,"Hiller corer",NA,NA,NA,966,"Simplon/Gampisch-Alter Spittel","CHE-23000-SPIT","Y1979","CHE","23","000",46,13,52,"N",46.231111,"46.13.52N",8,0,41,"E",8.011389,"  8.00.41E",1885,0.04
"232",1167,971,"UMBRAIL","Umbrail","Y","N","Y","PMIR","N",NA,"Carex fusca,Eriophorum latifolium",675,"1963-09-19",NA,NA,"Hiller corer",NA,NA,"in Border beetwen Italia and Zwitzerland",971,"Umbrail","CHE-10000-UMBR",NA,"CHE","10","000",46,32,38,"N",46.543889,"46.32.38N",10,26,5,"E",10.434722," 10.26.05E",2490,NA
"233",1168,972,"XIRES","Montana-Xirès","Y","N","N","PFVL","N","below restaur.Alpina and hotel Excelsior",NA,675,"1956-09-06",NA,NA,"Hiller corer",NA,NA,NA,972,"Xirès Montana","CHE-23000-XIRE",NA,"CHE","23","000",46,18,33,"N",46.309167,"46.18.33N",7,28,20,"E",7.472222,"  7.28.20E",1501,NA
"234",1169,973,"YCOR","Etang d'y Cor","Y","N","Y","LNAT","N","in peat ca. 8 m SW of lake margin","mire",675,"1938-06-26",0,NA,"Hiller corer",NA,NA,NA,973,"Etang d'y Cor Montana","CHE-23000-YCOR","N2000","CHE","23","000",46,18,42,"N",46.311667,"46.18.42N",7,28,45,"E",7.479167,"  7.28.45E",1506,0.2
"235",1170,974,"WALLB1","Wallbach I","Y","Y","Y","PFEN","N",NA,"Caricetum fuscae + Trichophoretum caesp.",675,"1959-08-00",NA,NA,"spade to 155 cm, Hiller corer",NA,NA,NA,974,"Wallbach Lenk","CHE-23000-WALL",NA,"CHE","23","000",46,25,42,"N",46.428333,"46.25.42N",7,24,11,"E",7.403056,"  7.24.11E",1876,NA
"236",1171,974,"WALLB3","Wallbach III","Y","N","Y","PFEN","N",NA,NA,675,"1959-08-00",NA,NA,NA,NA,NA,NA,974,"Wallbach Lenk","CHE-23000-WALL",NA,"CHE","23","000",46,25,42,"N",46.428333,"46.25.42N",7,24,11,"E",7.403056,"  7.24.11E",1876,NA
"237",1172,974,"WALLB8","Wallbach VIII","Y","N","Y","PFEN","N",NA,NA,675,"1959-08-00",NA,NA,NA,NA,NA,NA,974,"Wallbach Lenk","CHE-23000-WALL",NA,"CHE","23","000",46,25,42,"N",46.428333,"46.25.42N",7,24,11,"E",7.403056,"  7.24.11E",1876,NA
"238",1173,974,"WALLB9","Wallbach IX Forsthütte","Y","N","Y","PFEN","N",NA,NA,675,"1959-08-00",NA,NA,NA,NA,NA,NA,974,"Wallbach Lenk","CHE-23000-WALL",NA,"CHE","23","000",46,25,42,"N",46.428333,"46.25.42N",7,24,11,"E",7.403056,"  7.24.11E",1876,NA
"239",1177,976,"PSM90III","PSM90/3","Y","N","N","LNAT","N",NA,"open water",NA,"1990-07-00",4400,NA,"Kullenberg piston corer (12cm)",5,NA,NA,976,"Lej da San Murezzan","CHE-10000-PSM9",NA,"CHE","10","000",46,29,42,"N",46.495,"46.29.42N",9,51,0,"E",9.85,"  9.51.00",1770,78
"240",1181,980,"NILEDS7","Core S7","Y","N","N","TERR","N",NA,NA,58,"1985-00-00",0,NA,"combination rotary percussion",6,0,NA,980,"Nile Delta S7","EGY-01000-NILE",NA,"EGY","01","000",31,7,30,"N",31.125,"31.07.30N",31,52,0,"E",31.866667," 31.52.00E",1,NA
"241",1182,981,"NILEDS8","Core S8","Y","N","N","TERR","N",NA,NA,58,"1985-00-00",0,NA,"combination rotary percussion",6,0,NA,981,"Nile Delta S8","EGY-01000-NILE",NA,"EGY","01","000",31,13,0,"N",31.216667,"31.13.00N",32,2,0,"E",32.033333," 32.02.00E",0,NA
"242",1194,992,"RINDERP","Rinderplatz","Y","N","N","PBRA","N",NA,"Sphagnum hummock-hollows, Cyperaceae",724,"0000-00-00",NA,NA,"Geonor corer",5.4,NA,NA,992,"Rinderplatz","ITA-17000-RIND",NA,"ITA","17","000",46,38,41,"N",46.644722,"46.38.41N",11,29,40,"E",11.494444," 11.29.40E",1780,NA
